GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ukraina-centr-admin,com.nagornyi.appengine,Greeting,0,26,0,0,0,5,0,2,0,2
ukraina-centr-admin,com.nagornyi.appengine,GuestbookStrong,0,59,0,0,0,15,0,3,0,3
ukraina-centr-admin,com.nagornyi.appengine,AutoValue_Greeting,104,22,18,2,20,9,14,3,4,3
ukraina-centr-admin,com.nagornyi.appengine,AbstractGuestbook,0,50,0,2,0,12,0,4,0,3
ukraina-centr-admin,com.nagornyi.appengine,Guestbook,0,42,0,0,0,10,0,3,0,3
ukraina-centr-admin,com.nagornyi.time,SystemClock,5,0,0,0,3,0,2,0,2,0
ukraina-centr-admin,com.nagornyi.appengine.dao.app,AppEngineFactory,20,0,0,0,5,0,3,0,3,0
ukraina-centr-admin,com.nagornyi.appengine.dao.app,SettingDAO,26,0,2,0,5,0,5,0,4,0
ukraina-centr-admin,com.nagornyi.appengine.dao.app,EntityDAO,398,0,20,0,82,0,35,0,25,0
ukraina-centr-admin,com.nagornyi.time.testing,FakeClock,66,33,0,0,18,9,10,5,10,5
ukraina-centr-admin,com.nagornyi.appengine.servlets,StatsServlet,47,0,0,0,10,0,2,0,2,0
ukraina-centr-admin,com.nagornyi.appengine.servlets,GuestbookStrongServlet,10,0,0,0,2,0,1,0,1,0
ukraina-centr-admin,com.nagornyi.appengine.servlets,AbstractGuestbookServlet,54,0,4,0,17,0,6,0,4,0
ukraina-centr-admin,com.nagornyi.appengine.servlets,StartupServlet,0,164,0,4,0,69,0,5,0,3
ukraina-centr-admin,com.nagornyi.appengine.servlets,GuestbookServlet,9,0,0,0,2,0,1,0,1,0
ukraina-centr-admin,com.nagornyi.appengine.servlets,ListPeopleServlet,0,94,0,4,0,28,0,4,0,2
ukraina-centr-admin,com.nagornyi.appengine.servlets,ProjectionServlet,0,102,0,2,0,22,0,5,0,4
ukraina-centr-admin,com.nagornyi.appengine.servlets,SettingsServlet,51,0,2,0,15,0,4,0,3,0
ukraina-centr-admin,com.nagornyi.appengine.service,SettingsService,43,0,0,0,13,0,4,0,4,0
ukraina-centr-admin,com.nagornyi.appengine.dao,PaginationBatch,23,0,0,0,8,0,4,0,4,0
ukraina-centr-admin,com.nagornyi.appengine.dao,DAOFacade,83,0,4,0,20,0,15,0,13,0
ukraina-centr-admin,com.nagornyi.appengine.jackson,ActionUtil,61,0,4,0,14,0,7,0,5,0
ukraina-centr-admin,com.nagornyi.appengine.entity,EntityWrapper,151,0,14,0,41,0,23,0,16,0
ukraina-centr-admin,com.nagornyi.appengine.entity,Setting,36,0,0,0,13,0,7,0,7,0
ukraina-centr-admin,com.nagornyi.appengine.dto,SettingDto,19,0,0,0,3,0,4,0,4,0
ukraina-centr-admin,com.nagornyi.appengine.dto,SettingDto.SettingDtoBuilder,27,0,0,0,1,0,5,0,5,0
